Симптом1,Симптом2,Симптом3,Диагноза,Превенция
Треска,Гадене,Световъртеж,Настинка,Избягвайте алергени
Умора,Мускулни болки,Болки в гърдите,Мигрена,Избягвайте алергени
Умора,Обрив,Повръщане,Алергия,Избягвайте алергени
Кашлица,Мускулни болки,Световъртеж,Мигрена,Избягвайте алергени
Главоболие,Мускулни болки,Световъртеж,COVID-19,Ваксинирайте се
Кашлица,Обрив,Болки в гърдите,Мигрена,Избягвайте близък контакт с болни хора
Умора,Втрисане,Болки в ставите,Настинка,Пийте много течности
Главоболие,Затруднено дишане,Хрема,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Болки в ставите,Настинка,Пийте много течности
Умора,Гадене,Повръщане,Алергия,Използвайте лекарства без рецепта
Умора,Гадене,Болки в гърдите,COVID-19,Почивайте достатъчно
Умора,Мускулни болки,Световъртеж,Алергия,Използвайте лекарства без рецепта
Главоболие,Обрив,Хрема,Грип,Пийте много течности
Болки в гърлото,Затруднено дишане,Световъртеж,Грип,Носете маска
Болки в гърлото,Гадене,Хрема,COVID-19,Почивайте достатъчно
Треска,Втрисане,Хрема,Алергия,Ваксинирайте се
Умора,Гадене,Хрема,Алергия,Носете маска
Кашлица,Затруднено дишане,Световъртеж,Грип,Използвайте овлажнител
Умора,Обрив,Повръщане,COVID-19,Пийте много течности
Болки в гърлото,Мускулни болки,Болки в гърдите,Алергия,Използвайте овлажнител
Главоболие,Мускулни болки,Повръщане,Мигрена,Използвайте овлажнител
Умора,Мускулни болки,Световъртеж,Алергия,Пийте много течности
Треска,Гадене,Болки в гърдите,Грип,Практикувайте добра хигиена
Болки в гърлото,Мускулни болки,Световъртеж,COVID-19,Избягвайте алергени
Умора,Мускулни болки,Повръщане,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Обрив,Болки в ставите,COVID-19,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Хрема,Алергия,Практикувайте добра хигиена
Кашлица,Гадене,Световъртеж,Мигрена,Ваксинирайте се
Умора,Гадене,Болки в ставите,Мигрена,Използвайте овлажнител
Умора,Втрисане,Болки в гърдите,COVID-19,Почивайте достатъчно
Умора,Обрив,Болки в гърдите,Мигрена,Избягвайте алергени
Главоболие,Гадене,Хрема,Грип,Практикувайте добра хигиена
Кашлица,Мускулни болки,Болки в ставите,Настинка,Пийте много течности
Болки в гърлото,Втрисане,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Умора,Втрисане,Болки в ставите,COVID-19,Почивайте достатъчно
Кашлица,Гадене,Хрема,Мигрена,Използвайте овлажнител
Треска,Затруднено дишане,Болки в ставите,COVID-19,Ваксинирайте се
Кашлица,Обрив,Хрема,COVID-19,Използвайте овлажнител
Болки в гърлото,Втрисане,Световъртеж,Грип,Практикувайте добра хигиена
Умора,Втрисане,Повръщане,Настинка,Носете маска
Кашлица,Мускулни болки,Хрема,Алергия,Пийте много течности
Кашлица,Втрисане,Световъртеж,Алергия,Носете маска
Треска,Гадене,Световъртеж,Алергия,Практикувайте добра хигиена
Кашлица,Мускулни болки,Болки в гърдите,Мигрена,Избягвайте алергени
Болки в гърлото,Затруднено дишане,Болки в гърдите,COVID-19,Практикувайте добра хигиена
Умора,Гадене,Болки в гърдите,Мигрена,Избягвайте близък контакт с болни хора
Главоболие,Втрисане,Болки в гърдите,Настинка,Почивайте достатъчно
Треска,Втрисане,Болки в гърдите,Мигрена,Носете маска
Умора,Обрив,Хрема,Мигрена,Избягвайте алергени
Кашлица,Затруднено дишане,Световъртеж,Настинка,Използвайте лекарства без рецепта
Болки в гърлото,Обрив,Болки в ставите,Грип,Избягвайте алергени
Кашлица,Мускулни болки,Хрема,Настинка,Почивайте достатъчно
Болки в гърлото,Гадене,Болки в ставите,Алергия,Използвайте овлажнител
Треска,Гадене,Повръщане,Алергия,Почивайте достатъчно
Кашлица,Затруднено дишане,Болки в гърдите,Мигрена,Пийте много течности
Болки в гърлото,Обрив,Повръщане,Алергия,Използвайте лекарства без рецепта
Кашлица,Мускулни болки,Хрема,Грип,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Болки в ставите,Мигрена,Пийте много течности
Главоболие,Гадене,Хрема,Настинка,Почивайте достатъчно
Треска,Затруднено дишане,Хрема,Алергия,Избягвайте алергени
Умора,Обрив,Повръщане,COVID-19,Ваксинирайте се
Главоболие,Затруднено дишане,Хрема,COVID-19,Избягвайте алергени
Главоболие,Мускулни болки,Световъртеж,COVID-19,Почивайте достатъчно
Умора,Втрисане,Болки в ставите,Настинка,Пийте много течности
Кашлица,Мускулни болки,Болки в гърдите,Грип,Избягвайте близък контакт с болни хора
Главоболие,Гадене,Хрема,Настинка,Носете маска
Болки в гърлото,Мускулни болки,Болки в гърдите,Грип,Практикувайте добра хигиена
Главоболие,Втрисане,Болки в ставите,Грип,Избягвайте алергени
Болки в гърлото,Обрив,Хрема,Мигрена,Избягвайте близък контакт с болни хора
Кашлица,Мускулни болки,Повръщане,Настинка,Използвайте лекарства без рецепта
Кашлица,Гадене,Повръщане,COVID-19,Пийте много течности
Умора,Втрисане,Болки в ставите,COVID-19,Носете маска
Болки в гърлото,Втрисане,Болки в гърдите,Мигрена,Почивайте достатъчно
Кашлица,Гадене,Повръщане,COVID-19,Избягвайте близък контакт с болни хора
Треска,Мускулни болки,Световъртеж,Грип,Носете маска
Умора,Втрисане,Хрема,Грип,Използвайте лекарства без рецепта
Главоболие,Гадене,Хрема,Грип,Ваксинирайте се
Треска,Втрисане,Болки в ставите,Алергия,Ваксинирайте се
Треска,Затруднено дишане,Световъртеж,Мигрена,Ваксинирайте се
Кашлица,Обрив,Болки в ставите,Грип,Пийте много течности
Кашлица,Втрисане,Световъртеж,COVID-19,Използвайте лекарства без рецепта
Умора,Затруднено дишане,Повръщане,COVID-19,Почивайте достатъчно
Умора,Мускулни болки,Болки в ставите,Грип,Ваксинирайте се
Умора,Обрив,Повръщане,Грип,Ваксинирайте се
Болки в гърлото,Затруднено дишане,Световъртеж,Настинка,Избягвайте близък контакт с болни хора
Умора,Гадене,Хрема,Алергия,Пийте много течности
Треска,Затруднено дишане,Болки в ставите,Настинка,Носете маска
Главоболие,Обрив,Болки в ставите,Алергия,Използвайте лекарства без рецепта
Умора,Мускулни болки,Световъртеж,Алергия,Практикувайте добра хигиена
Кашлица,Затруднено дишане,Повръщане,COVID-19,Използвайте лекарства без рецепта
Болки в гърлото,Гадене,Болки в гърдите,Настинка,Пийте много течности
Кашлица,Обрив,Световъртеж,Алергия,Използвайте лекарства без рецепта
Треска,Мускулни болки,Световъртеж,Алергия,Избягвайте близък контакт с болни хора
Умора,Втрисане,Хрема,Алергия,Почивайте достатъчно
Главоболие,Гадене,Повръщане,Мигрена,Пийте много течности
Треска,Обрив,Хрема,Настинка,Пийте много течности
Болки в гърлото,Обрив,Световъртеж,Алергия,Носете маска
Кашлица,Гадене,Болки в ставите,Алергия,Избягвайте алергени
Умора,Затруднено дишане,Повръщане,COVID-19,Носете маска
Треска,Мускулни болки,Световъртеж,Грип,Почивайте достатъчно
Треска,Втрисане,Болки в ставите,Грип,Избягвайте алергени
Треска,Втрисане,Хрема,Грип,Носете маска
Треска,Мускулни болки,Хрема,Грип,Практикувайте добра хигиена
Болки в гърлото,Гадене,Хрема,Грип,Пийте много течности
Главоболие,Обрив,Повръщане,Мигрена,Пийте много течности
Болки в гърлото,Затруднено дишане,Хрема,Мигрена,Пийте много течности
Умора,Втрисане,Повръщане,COVID-19,Ваксинирайте се
Треска,Гадене,Болки в ставите,Грип,Избягвайте близък контакт с болни хора
Умора,Гадене,Болки в гърдите,Настинка,Използвайте овлажнител
Болки в гърлото,Гадене,Болки в гърдите,Мигрена,Носете маска
Болки в гърлото,Втрисане,Болки в гърдите,Настинка,Ваксинирайте се
Болки в гърлото,Обрив,Хрема,Алергия,Ваксинирайте се
Кашлица,Обрив,Болки в ставите,Грип,Използвайте лекарства без рецепта
Болки в гърлото,Гадене,Повръщане,Мигрена,Избягвайте алергени
Умора,Обрив,Болки в ставите,Мигрена,Ваксинирайте се
Треска,Обрив,Повръщане,Грип,Почивайте достатъчно
Болки в гърлото,Втрисане,Хрема,Грип,Пийте много течности
Болки в гърлото,Затруднено дишане,Хрема,Мигрена,Избягвайте алергени
Болки в гърлото,Обрив,Световъртеж,Грип,Ваксинирайте се
Кашлица,Обрив,Световъртеж,Алергия,Използвайте лекарства без рецепта
Болки в гърлото,Обрив,Болки в гърдите,COVID-19,Ваксинирайте се
Треска,Гадене,Повръщане,Настинка,Избягвайте алергени
Болки в гърлото,Втрисане,Болки в ставите,Настинка,Почивайте достатъчно
Умора,Мускулни болки,Хрема,Настинка,Избягвайте близък контакт с болни хора
Умора,Обрив,Световъртеж,Настинка,Носете маска
Треска,Втрисане,Световъртеж,Грип,Избягвайте алергени
Болки в гърлото,Гадене,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Световъртеж,Настинка,Носете маска
Умора,Мускулни болки,Повръщане,Мигрена,Избягвайте близък контакт с болни хора
Болки в гърлото,Затруднено дишане,Повръщане,COVID-19,Избягвайте алергени
Умора,Мускулни болки,Болки в ставите,Мигрена,Избягвайте близък контакт с болни хора
Болки в гърлото,Втрисане,Повръщане,Мигрена,Използвайте лекарства без рецепта
Кашлица,Гадене,Болки в ставите,Грип,Ваксинирайте се
Треска,Гадене,Болки в ставите,COVID-19,Използвайте овлажнител
Треска,Втрисане,Повръщане,Грип,Избягвайте алергени
Треска,Обрив,Болки в ставите,Мигрена,Избягвайте алергени
Умора,Гадене,Световъртеж,COVID-19,Носете маска
Болки в гърлото,Затруднено дишане,Болки в ставите,Грип,Избягвайте алергени
Умора,Гадене,Болки в гърдите,COVID-19,Използвайте лекарства без рецепта
Главоболие,Затруднено дишане,Световъртеж,Грип,Пийте много течности
Кашлица,Обрив,Болки в гърдите,Грип,Носете маска
Кашлица,Затруднено дишане,Болки в гърдите,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Болки в гърдите,Грип,Избягвайте алергени
Умора,Обрив,Болки в гърдите,COVID-19,Практикувайте добра хигиена
Болки в гърлото,Обрив,Повръщане,Алергия,Пийте много течности
Болки в гърлото,Затруднено дишане,Световъртеж,Алергия,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Болки в ставите,COVID-19,Пийте много течности
Треска,Затруднено дишане,Хрема,COVID-19,Носете маска
Главоболие,Мускулни болки,Болки в гърдите,Мигрена,Почивайте достатъчно
Кашлица,Затруднено дишане,Световъртеж,Настинка,Практикувайте добра хигиена
Треска,Втрисане,Болки в гърдите,Настинка,Използвайте овлажнител
Главоболие,Затруднено дишане,Болки в ставите,Мигрена,Избягвайте алергени
Главоболие,Гадене,Повръщане,COVID-19,Пийте много течности
Умора,Мускулни болки,Болки в ставите,Настинка,Ваксинирайте се
Болки в гърлото,Гадене,Болки в гърдите,Грип,Избягвайте близък контакт с болни хора
Кашлица,Втрисане,Болки в гърдите,COVID-19,Пийте много течности
Треска,Затруднено дишане,Хрема,Настинка,Ваксинирайте се
Треска,Обрив,Световъртеж,COVID-19,Пийте много течности
Умора,Обрив,Болки в гърдите,Грип,Ваксинирайте се
Болки в гърлото,Обрив,Повръщане,Мигрена,Носете маска
Умора,Гадене,Повръщане,COVID-19,Ваксинирайте се
Треска,Мускулни болки,Болки в ставите,COVID-19,Използвайте лекарства без рецепта
Кашлица,Гадене,Повръщане,Грип,Носете маска
Кашлица,Втрисане,Болки в гърдите,Настинка,Избягвайте близък контакт с болни хора
Умора,Мускулни болки,Хрема,Настинка,Избягвайте алергени
Главоболие,Обрив,Болки в гърдите,Мигрена,Ваксинирайте се
Главоболие,Мускулни болки,Болки в ставите,Алергия,Избягвайте алергени
Кашлица,Втрисане,Световъртеж,Настинка,Използвайте лекарства без рецепта
Кашлица,Затруднено дишане,Болки в ставите,COVID-19,Практикувайте добра хигиена
Кашлица,Гадене,Световъртеж,Алергия,Ваксинирайте се
Болки в гърлото,Обрив,Повръщане,COVID-19,Използвайте лекарства без рецепта
Главоболие,Мускулни болки,Световъртеж,Мигрена,Ваксинирайте се
Умора,Гадене,Световъртеж,COVID-19,Носете маска
Главоболие,Затруднено дишане,Болки в гърдите,COVID-19,Почивайте достатъчно
Болки в гърлото,Гадене,Болки в гърдите,Мигрена,Почивайте достатъчно
Болки в гърлото,Обрив,Болки в ставите,Мигрена,Избягвайте близък контакт с болни хора
Болки в гърлото,Затруднено дишане,Хрема,Алергия,Използвайте лекарства без рецепта
Кашлица,Обрив,Болки в ставите,Настинка,Практикувайте добра хигиена
Кашлица,Обрив,Световъртеж,Грип,Използвайте овлажнител
Треска,Обрив,Хрема,Грип,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Хрема,Мигрена,Използвайте лекарства без рецепта
Болки в гърлото,Обрив,Болки в гърдите,Грип,Избягвайте близък контакт с болни хора
Треска,Мускулни болки,Повръщане,Грип,Избягвайте близък контакт с болни хора
Умора,Мускулни болки,Болки в ставите,Мигрена,Избягвайте алергени
Треска,Гадене,Световъртеж,Грип,Ваксинирайте се
Умора,Мускулни болки,Хрема,Мигрена,Ваксинирайте се
Главоболие,Втрисане,Световъртеж,COVID-19,Практикувайте добра хигиена
Болки в гърлото,Затруднено дишане,Болки в гърдите,Настинка,Практикувайте добра хигиена
Умора,Втрисане,Световъртеж,Настинка,Ваксинирайте се
Главоболие,Затруднено дишане,Повръщане,Мигрена,Пийте много течности
Кашлица,Затруднено дишане,Хрема,Настинка,Пийте много течности
Болки в гърлото,Затруднено дишане,Повръщане,Мигрена,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Световъртеж,COVID-19,Избягвайте алергени
Треска,Затруднено дишане,Повръщане,Настинка,Практикувайте добра хигиена
Главоболие,Втрисане,Хрема,Грип,Използвайте лекарства без рецепта
Болки в гърлото,Обрив,Болки в гърдите,Грип,Пийте много течности
Болки в гърлото,Затруднено дишане,Болки в ставите,Грип,Почивайте достатъчно
Умора,Затруднено дишане,Световъртеж,Алергия,Ваксинирайте се
Главоболие,Обрив,Болки в гърдите,Грип,Избягвайте близък контакт с болни хора
Главоболие,Обрив,Хрема,Мигрена,Носете маска
Кашлица,Гадене,Повръщане,Алергия,Ваксинирайте се
Главоболие,Обрив,Повръщане,Мигрена,Практикувайте добра хигиена
Главоболие,Втрисане,Болки в ставите,Алергия,Пийте много течности
Треска,Обрив,Повръщане,Мигрена,Носете маска
Умора,Гадене,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Треска,Гадене,Световъртеж,Настинка,Използвайте лекарства без рецепта
Болки в гърлото,Гадене,Световъртеж,Мигрена,Почивайте достатъчно
Болки в гърлото,Обрив,Повръщане,Мигрена,Почивайте достатъчно
Треска,Втрисане,Болки в ставите,Мигрена,Използвайте лекарства без рецепта
Болки в гърлото,Втрисане,Хрема,Грип,Използвайте лекарства без рецепта
Треска,Обрив,Болки в гърдите,Алергия,Практикувайте добра хигиена
Кашлица,Затруднено дишане,Болки в гърдите,COVID-19,Избягвайте алергени
Болки в гърлото,Обрив,Повръщане,COVID-19,Практикувайте добра хигиена
Треска,Втрисане,Световъртеж,Настинка,Носете маска
Болки в гърлото,Затруднено дишане,Хрема,COVID-19,Пийте много течности
Болки в гърлото,Гадене,Болки в гърдите,Алергия,Използвайте овлажнител
Треска,Затруднено дишане,Световъртеж,Мигрена,Използвайте овлажнител
Главоболие,Затруднено дишане,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Кашлица,Затруднено дишане,Световъртеж,Мигрена,Пийте много течности
Главоболие,Затруднено дишане,Хрема,Мигрена,Използвайте овлажнител
Умора,Втрисане,Болки в гърдите,Мигрена,Почивайте достатъчно
Болки в гърлото,Обрив,Болки в гърдите,Настинка,Използвайте овлажнител
Умора,Втрисане,Болки в гърдите,Мигрена,Използвайте лекарства без рецепта
Главоболие,Обрив,Болки в гърдите,Грип,Почивайте достатъчно
Умора,Затруднено дишане,Повръщане,Грип,Почивайте достатъчно
Треска,Втрисане,Световъртеж,Грип,Пийте много течности
Умора,Мускулни болки,Болки в ставите,Настинка,Почивайте достатъчно
Умора,Мускулни болки,Болки в ставите,Алергия,Пийте много течности
Умора,Обрив,Хрема,Настинка,Почивайте достатъчно
Главоболие,Мускулни болки,Хрема,Мигрена,Избягвайте алергени
Умора,Обрив,Болки в гърдите,Грип,Пийте много течности
Треска,Обрив,Повръщане,Настинка,Практикувайте добра хигиена
Кашлица,Обрив,Хрема,Настинка,Носете маска
Кашлица,Затруднено дишане,Повръщане,Мигрена,Почивайте достатъчно
Умора,Обрив,Хрема,Мигрена,Практикувайте добра хигиена
Кашлица,Обрив,Болки в ставите,COVID-19,Почивайте достатъчно
Кашлица,Затруднено дишане,Хрема,Алергия,Избягвайте алергени
Болки в гърлото,Втрисане,Световъртеж,Настинка,Почивайте достатъчно
Треска,Мускулни болки,Болки в гърдите,Настинка,Използвайте овлажнител
Кашлица,Гадене,Болки в гърдите,Мигрена,Използвайте лекарства без рецепта
Болки в гърлото,Обрив,Световъртеж,Алергия,Пийте много течности
Главоболие,Гадене,Болки в гърдите,Настинка,Носете маска
Кашлица,Обрив,Световъртеж,Грип,Избягвайте близък контакт с болни хора
Главоболие,Затруднено дишане,Болки в ставите,Настинка,Избягвайте алергени
Главоболие,Гадене,Световъртеж,Грип,Носете маска
Кашлица,Втрисане,Хрема,COVID-19,Избягвайте алергени
Болки в гърлото,Затруднено дишане,Хрема,Настинка,Избягвайте близък контакт с болни хора
Умора,Мускулни болки,Болки в ставите,Алергия,Почивайте достатъчно
