Симптом1,Симптом2,Симптом3,Диагноза,Превенция
Болки в гърлото,Мускулни болки,Болки в ставите,Настинка,Практикувайте добра хигиена
Болки в гърлото,Втрисане,Хрема,Алергия,Почивайте достатъчно
Болки в гърлото,Обрив,Болки в ставите,Мигрена,Почивайте достатъчно
Умора,Втрисане,Световъртеж,Настинка,Избягвайте алергени
Кашлица,Втрисане,Хрема,Мигрена,Носете маска
Болки в гърлото,Обрив,Световъртеж,Грип,Използвайте овлажнител
Кашлица,Обрив,Световъртеж,COVID-19,Практикувайте добра хигиена
Кашлица,Мускулни болки,Хрема,Грип,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Хрема,Грип,Ваксинирайте се
Болки в гърлото,Затруднено дишане,Повръщане,Мигрена,Практикувайте добра хигиена
Кашлица,Мускулни болки,Болки в ставите,Настинка,Практикувайте добра хигиена
Главоболие,Гадене,Хрема,Грип,Избягвайте близък контакт с болни хора
Кашлица,Гадене,Световъртеж,COVID-19,Практикувайте добра хигиена
Кашлица,Гадене,Повръщане,Мигрена,Носете маска
Главоболие,Втрисане,Болки в ставите,Грип,Избягвайте алергени
Болки в гърлото,Обрив,Световъртеж,Грип,Практикувайте добра хигиена
Умора,Обрив,Хрема,COVID-19,Избягвайте алергени
Кашлица,Затруднено дишане,Болки в гърдите,Грип,Носете маска
Болки в гърлото,Обрив,Болки в ставите,Алергия,Носете маска
Треска,Мускулни болки,Болки в гърдите,COVID-19,Ваксинирайте се
Кашлица,Мускулни болки,Болки в ставите,Алергия,Пийте много течности
Болки в гърлото,Мускулни болки,Хрема,COVID-19,Използвайте овлажнител
Умора,Обрив,Болки в ставите,Настинка,Избягвайте близък контакт с болни хора
Треска,Гадене,Световъртеж,Алергия,Ваксинирайте се
Треска,Обрив,Болки в ставите,Грип,Избягвайте близък контакт с болни хора
Треска,Обрив,Болки в ставите,Мигрена,Избягвайте алергени
Главоболие,Затруднено дишане,Болки в ставите,Грип,Ваксинирайте се
Умора,Обрив,Повръщане,Грип,Избягвайте близък контакт с болни хора
Треска,Обрив,Хрема,COVID-19,Използвайте лекарства без рецепта
Треска,Втрисане,Болки в гърдите,Мигрена,Ваксинирайте се
Главоболие,Мускулни болки,Хрема,Алергия,Използвайте лекарства без рецепта
Треска,Гадене,Болки в гърдите,COVID-19,Почивайте достатъчно
Треска,Гадене,Световъртеж,Алергия,Избягвайте близък контакт с болни хора
Умора,Втрисане,Болки в гърдите,COVID-19,Ваксинирайте се
Болки в гърлото,Мускулни болки,Хрема,Грип,Почивайте достатъчно
Болки в гърлото,Обрив,Болки в ставите,Грип,Ваксинирайте се
Умора,Обрив,Болки в гърдите,COVID-19,Избягвайте алергени
Кашлица,Гадене,Световъртеж,Настинка,Пийте много течности
Главоболие,Обрив,Болки в гърдите,Настинка,Почивайте достатъчно
Болки в гърлото,Втрисане,Болки в гърдите,Настинка,Носете маска
Треска,Мускулни болки,Хрема,COVID-19,Избягвайте близък контакт с болни хора
Болки в гърлото,Втрисане,Болки в ставите,Мигрена,Избягвайте близък контакт с болни хора
Умора,Гадене,Болки в ставите,Мигрена,Ваксинирайте се
Главоболие,Гадене,Болки в ставите,COVID-19,Използвайте лекарства без рецепта
Умора,Мускулни болки,Световъртеж,Алергия,Практикувайте добра хигиена
Главоболие,Затруднено дишане,Хрема,Алергия,Пийте много течности
Главоболие,Мускулни болки,Болки в ставите,Мигрена,Ваксинирайте се
Главоболие,Затруднено дишане,Болки в гърдите,Алергия,Практикувайте добра хигиена
Главоболие,Затруднено дишане,Световъртеж,Мигрена,Избягвайте алергени
Кашлица,Затруднено дишане,Болки в ставите,Алергия,Ваксинирайте се
Умора,Гадене,Световъртеж,Алергия,Пийте много течности
Кашлица,Обрив,Болки в гърдите,Настинка,Използвайте лекарства без рецепта
Главоболие,Затруднено дишане,Болки в гърдите,Алергия,Ваксинирайте се
Главоболие,Гадене,Хрема,Настинка,Избягвайте алергени
Главоболие,Гадене,Хрема,Настинка,Практикувайте добра хигиена
Болки в гърлото,Обрив,Повръщане,Грип,Използвайте лекарства без рецепта
Кашлица,Втрисане,Болки в гърдите,Грип,Избягвайте близък контакт с болни хора
Умора,Затруднено дишане,Хрема,Мигрена,Използвайте овлажнител
Кашлица,Втрисане,Болки в гърдите,Алергия,Носете маска
Умора,Мускулни болки,Болки в гърдите,Грип,Избягвайте алергени
Кашлица,Обрив,Болки в гърдите,Алергия,Избягвайте близък контакт с болни хора
Главоболие,Затруднено дишане,Повръщане,COVID-19,Носете маска
Кашлица,Мускулни болки,Болки в гърдите,Алергия,Избягвайте алергени
Умора,Мускулни болки,Повръщане,Грип,Използвайте овлажнител
Главоболие,Обрив,Повръщане,Алергия,Носете маска
Главоболие,Мускулни болки,Болки в ставите,Настинка,Практикувайте добра хигиена
Кашлица,Втрисане,Повръщане,Алергия,Пийте много течности
Умора,Втрисане,Болки в гърдите,COVID-19,Пийте много течности
Болки в гърлото,Втрисане,Болки в гърдите,Мигрена,Избягвайте близък контакт с болни хора
Кашлица,Мускулни болки,Световъртеж,Мигрена,Почивайте достатъчно
Треска,Затруднено дишане,Повръщане,COVID-19,Използвайте овлажнител
Умора,Затруднено дишане,Болки в ставите,Мигрена,Ваксинирайте се
Треска,Обрив,Световъртеж,COVID-19,Почивайте достатъчно
Умора,Затруднено дишане,Повръщане,Грип,Почивайте достатъчно
Болки в гърлото,Обрив,Световъртеж,Алергия,Носете маска
Болки в гърлото,Втрисане,Болки в ставите,Грип,Използвайте овлажнител
Умора,Обрив,Болки в гърдите,Настинка,Ваксинирайте се
Треска,Гадене,Хрема,Настинка,Практикувайте добра хигиена
Умора,Обрив,Световъртеж,Настинка,Ваксинирайте се
Треска,Затруднено дишане,Световъртеж,Мигрена,Използвайте лекарства без рецепта
Кашлица,Гадене,Болки в гърдите,Мигрена,Използвайте овлажнител
Умора,Обрив,Повръщане,Грип,Практикувайте добра хигиена
Кашлица,Обрив,Болки в гърдите,Мигрена,Ваксинирайте се
Болки в гърлото,Мускулни болки,Болки в ставите,Алергия,Използвайте лекарства без рецепта
Умора,Гадене,Повръщане,COVID-19,Практикувайте добра хигиена
Треска,Втрисане,Световъртеж,Алергия,Носете маска
Главоболие,Затруднено дишане,Повръщане,Алергия,Използвайте овлажнител
Главоболие,Мускулни болки,Болки в гърдите,Алергия,Използвайте овлажнител
Главоболие,Втрисане,Хрема,Мигрена,Пийте много течности
Кашлица,Мускулни болки,Повръщане,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Втрисане,Хрема,Алергия,Използвайте лекарства без рецепта
Кашлица,Затруднено дишане,Хрема,Мигрена,Ваксинирайте се
Кашлица,Втрисане,Повръщане,Алергия,Носете маска
Кашлица,Обрив,Болки в ставите,Грип,Почивайте достатъчно
Треска,Затруднено дишане,Световъртеж,Настинка,Ваксинирайте се
Умора,Обрив,Повръщане,Алергия,Практикувайте добра хигиена
Кашлица,Обрив,Хрема,Настинка,Пийте много течности
Болки в гърлото,Втрисане,Хрема,Настинка,Избягвайте близък контакт с болни хора
Кашлица,Мускулни болки,Болки в гърдите,Грип,Почивайте достатъчно
Треска,Обрив,Световъртеж,Алергия,Използвайте лекарства без рецепта
Болки в гърлото,Втрисане,Болки в ставите,COVID-19,Носете маска
Главоболие,Обрив,Световъртеж,Грип,Носете маска
Болки в гърлото,Мускулни болки,Световъртеж,Настинка,Избягвайте алергени
Главоболие,Обрив,Световъртеж,Мигрена,Използвайте овлажнител
Умора,Гадене,Повръщане,Алергия,Почивайте достатъчно
Умора,Обрив,Болки в ставите,Алергия,Използвайте овлажнител
Болки в гърлото,Затруднено дишане,Световъртеж,Настинка,Ваксинирайте се
Болки в гърлото,Обрив,Болки в гърдите,Грип,Използвайте лекарства без рецепта
Главоболие,Затруднено дишане,Болки в ставите,Настинка,Ваксинирайте се
Умора,Затруднено дишане,Световъртеж,COVID-19,Пийте много течности
Кашлица,Затруднено дишане,Болки в ставите,Мигрена,Практикувайте добра хигиена
Главоболие,Гадене,Болки в гърдите,Мигрена,Почивайте достатъчно
Треска,Затруднено дишане,Хрема,Грип,Използвайте лекарства без рецепта
Треска,Затруднено дишане,Хрема,Алергия,Носете маска
Болки в гърлото,Затруднено дишане,Хрема,Настинка,Използвайте овлажнител
Кашлица,Мускулни болки,Хрема,Мигрена,Използвайте овлажнител
Треска,Затруднено дишане,Световъртеж,Мигрена,Пийте много течности
Болки в гърлото,Втрисане,Хрема,Мигрена,Използвайте лекарства без рецепта
Умора,Гадене,Болки в ставите,COVID-19,Ваксинирайте се
Кашлица,Гадене,Световъртеж,Настинка,Използвайте овлажнител
Кашлица,Мускулни болки,Болки в ставите,Алергия,Почивайте достатъчно
Главоболие,Мускулни болки,Хрема,COVID-19,Използвайте овлажнител
Треска,Мускулни болки,Хрема,Настинка,Пийте много течности
Треска,Гадене,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Болки в гърлото,Втрисане,Световъртеж,Алергия,Избягвайте близък контакт с болни хора
Болки в гърлото,Гадене,Болки в ставите,Грип,Ваксинирайте се
Главоболие,Обрив,Повръщане,Мигрена,Носете маска
Умора,Мускулни болки,Болки в гърдите,Алергия,Избягвайте алергени
Треска,Гадене,Повръщане,Мигрена,Носете маска
Главоболие,Обрив,Световъртеж,Алергия,Използвайте лекарства без рецепта
Главоболие,Затруднено дишане,Световъртеж,Грип,Избягвайте близък контакт с болни хора
Главоболие,Обрив,Хрема,Настинка,Избягвайте близък контакт с болни хора
Умора,Затруднено дишане,Хрема,Алергия,Носете маска
Болки в гърлото,Мускулни болки,Хрема,Грип,Носете маска
Умора,Гадене,Хрема,Настинка,Носете маска
Умора,Обрив,Повръщане,Настинка,Практикувайте добра хигиена
Кашлица,Гадене,Болки в гърдите,Грип,Ваксинирайте се
Умора,Мускулни болки,Световъртеж,Алергия,Използвайте лекарства без рецепта
Кашлица,Гадене,Болки в ставите,Алергия,Използвайте лекарства без рецепта
Главоболие,Обрив,Болки в ставите,COVID-19,Носете маска
Болки в гърлото,Втрисане,Световъртеж,Мигрена,Използвайте овлажнител
Треска,Втрисане,Световъртеж,Мигрена,Ваксинирайте се
Кашлица,Гадене,Болки в гърдите,COVID-19,Пийте много течности
Главоболие,Обрив,Болки в гърдите,COVID-19,Носете маска
Треска,Затруднено дишане,Световъртеж,Настинка,Използвайте овлажнител
Треска,Мускулни болки,Хрема,Алергия,Избягвайте алергени
Главоболие,Затруднено дишане,Хрема,Настинка,Ваксинирайте се
Умора,Мускулни болки,Хрема,Грип,Ваксинирайте се
Главоболие,Гадене,Болки в гърдите,Алергия,Ваксинирайте се
Болки в гърлото,Обрив,Хрема,Алергия,Ваксинирайте се
Умора,Втрисане,Болки в ставите,Грип,Практикувайте добра хигиена
Кашлица,Обрив,Повръщане,Алергия,Практикувайте добра хигиена
Кашлица,Втрисане,Болки в гърдите,Алергия,Избягвайте алергени
Болки в гърлото,Втрисане,Световъртеж,Мигрена,Носете маска
Умора,Гадене,Световъртеж,Алергия,Използвайте овлажнител
Кашлица,Втрисане,Световъртеж,Алергия,Пийте много течности
Болки в гърлото,Затруднено дишане,Хрема,Настинка,Носете маска
Кашлица,Обрив,Болки в ставите,Грип,Пийте много течности
Главоболие,Обрив,Хрема,Мигрена,Практикувайте добра хигиена
Болки в гърлото,Обрив,Болки в гърдите,COVID-19,Използвайте лекарства без рецепта
Болки в гърлото,Гадене,Болки в гърдите,COVID-19,Носете маска
Кашлица,Обрив,Болки в гърдите,Настинка,Пийте много течности
Главоболие,Затруднено дишане,Световъртеж,Мигрена,Използвайте лекарства без рецепта
Главоболие,Затруднено дишане,Повръщане,Мигрена,Ваксинирайте се
Главоболие,Затруднено дишане,Повръщане,Мигрена,Използвайте овлажнител
Главоболие,Мускулни болки,Болки в ставите,Грип,Ваксинирайте се
Болки в гърлото,Втрисане,Повръщане,Мигрена,Пийте много течности
Кашлица,Втрисане,Болки в ставите,Настинка,Носете маска
Умора,Гадене,Световъртеж,Алергия,Ваксинирайте се
Треска,Втрисане,Повръщане,Грип,Използвайте овлажнител
Главоболие,Обрив,Хрема,Мигрена,Пийте много течности
Главоболие,Втрисане,Повръщане,Грип,Избягвайте близък контакт с болни хора
Главоболие,Мускулни болки,Болки в гърдите,COVID-19,Пийте много течности
Умора,Обрив,Световъртеж,COVID-19,Носете маска
Болки в гърлото,Затруднено дишане,Световъртеж,Алергия,Използвайте лекарства без рецепта
Треска,Обрив,Повръщане,Настинка,Ваксинирайте се
Болки в гърлото,Втрисане,Болки в гърдите,COVID-19,Почивайте достатъчно
Умора,Обрив,Болки в гърдите,Мигрена,Използвайте овлажнител
Треска,Втрисане,Световъртеж,Настинка,Почивайте достатъчно
Треска,Обрив,Болки в ставите,COVID-19,Избягвайте алергени
Главоболие,Мускулни болки,Болки в гърдите,Мигрена,Почивайте достатъчно
Болки в гърлото,Затруднено дишане,Болки в гърдите,Мигрена,Избягвайте близък контакт с болни хора
Кашлица,Обрив,Повръщане,COVID-19,Избягвайте близък контакт с болни хора
Треска,Гадене,Хрема,Настинка,Практикувайте добра хигиена
Умора,Затруднено дишане,Болки в гърдите,Грип,Практикувайте добра хигиена
Кашлица,Гадене,Болки в гърдите,Настинка,Избягвайте близък контакт с болни хора
Кашлица,Гадене,Хрема,Настинка,Ваксинирайте се
Кашлица,Втрисане,Световъртеж,Алергия,Използвайте лекарства без рецепта
Треска,Мускулни болки,Световъртеж,Настинка,Носете маска
Кашлица,Втрисане,Повръщане,Мигрена,Използвайте овлажнител
Болки в гърлото,Обрив,Повръщане,Грип,Използвайте овлажнител
Главоболие,Обрив,Болки в гърдите,Алергия,Използвайте овлажнител
Кашлица,Мускулни болки,Повръщане,Настинка,Почивайте достатъчно
Треска,Затруднено дишане,Болки в гърдите,Настинка,Използвайте овлажнител
Болки в гърлото,Затруднено дишане,Повръщане,Алергия,Практикувайте добра хигиена
Главоболие,Обрив,Болки в ставите,Грип,Пийте много течности
Треска,Гадене,Болки в ставите,Настинка,Носете маска
Главоболие,Обрив,Световъртеж,Грип,Избягвайте алергени
Кашлица,Гадене,Световъртеж,COVID-19,Носете маска
Умора,Мускулни болки,Повръщане,Алергия,Ваксинирайте се
Болки в гърлото,Мускулни болки,Болки в ставите,Алергия,Почивайте достатъчно
Болки в гърлото,Обрив,Хрема,Настинка,Избягвайте алергени
Кашлица,Втрисане,Болки в гърдите,Грип,Носете маска
Умора,Обрив,Хрема,Мигрена,Носете маска
Главоболие,Мускулни болки,Хрема,COVID-19,Използвайте овлажнител
Треска,Втрисане,Болки в ставите,Алергия,Носете маска
Главоболие,Гадене,Повръщане,Мигрена,Ваксинирайте се
Кашлица,Обрив,Повръщане,COVID-19,Избягвайте близък контакт с болни хора
Умора,Гадене,Болки в гърдите,COVID-19,Носете маска
Треска,Обрив,Болки в ставите,Алергия,Носете маска
Главоболие,Обрив,Повръщане,Мигрена,Носете маска
Умора,Обрив,Хрема,Грип,Почивайте достатъчно
Болки в гърлото,Затруднено дишане,Болки в ставите,Алергия,Пийте много течности
Треска,Втрисане,Болки в гърдите,Настинка,Практикувайте добра хигиена
Главоболие,Гадене,Повръщане,Мигрена,Пийте много течности
Болки в гърлото,Затруднено дишане,Световъртеж,Алергия,Пийте много течности
Треска,Втрисане,Хрема,Мигрена,Носете маска
Умора,Затруднено дишане,Световъртеж,Грип,Носете маска
Треска,Гадене,Повръщане,Грип,Избягвайте алергени
Умора,Гадене,Хрема,COVID-19,Ваксинирайте се
Болки в гърлото,Гадене,Световъртеж,Мигрена,Избягвайте алергени
Треска,Затруднено дишане,Болки в ставите,Алергия,Използвайте лекарства без рецепта
Кашлица,Затруднено дишане,Повръщане,Грип,Почивайте достатъчно
Болки в гърлото,Мускулни болки,Хрема,Алергия,Избягвайте близък контакт с болни хора
Треска,Втрисане,Световъртеж,Настинка,Носете маска
Болки в гърлото,Втрисане,Болки в ставите,COVID-19,Практикувайте добра хигиена
Треска,Мускулни болки,Болки в ставите,Грип,Ваксинирайте се
Кашлица,Втрисане,Световъртеж,COVID-19,Използвайте лекарства без рецепта
Умора,Мускулни болки,Повръщане,Грип,Практикувайте добра хигиена
Кашлица,Затруднено дишане,Болки в гърдите,Алергия,Почивайте достатъчно
Кашлица,Мускулни болки,Световъртеж,Грип,Използвайте лекарства без рецепта
Главоболие,Втрисане,Болки в ставите,Настинка,Ваксинирайте се
Болки в гърлото,Обрив,Световъртеж,Грип,Избягвайте алергени
Болки в гърлото,Затруднено дишане,Хрема,Алергия,Избягвайте алергени
Умора,Затруднено дишане,Болки в ставите,Алергия,Избягвайте алергени
Главоболие,Гадене,Хрема,Настинка,Използвайте овлажнител
Умора,Мускулни болки,Повръщане,COVID-19,Избягвайте близък контакт с болни хора
Умора,Затруднено дишане,Хрема,Настинка,Практикувайте добра хигиена
Умора,Мускулни болки,Болки в гърдите,Мигрена,Пийте много течности
Кашлица,Мускулни болки,Болки в ставите,Алергия,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Повръщане,Грип,Практикувайте добра хигиена
Треска,Мускулни болки,Повръщане,Алергия,Практикувайте добра хигиена
Умора,Гадене,Хрема,COVID-19,Пийте много течности
Болки в гърлото,Затруднено дишане,Хрема,Мигрена,Използвайте лекарства без рецепта
Кашлица,Затруднено дишане,Световъртеж,Алергия,Пийте много течности
Треска,Обрив,Болки в ставите,Настинка,Пийте много течности
Главоболие,Мускулни болки,Повръщане,Грип,Избягвайте близък контакт с болни хора
Умора,Втрисане,Световъртеж,Алергия,Почивайте достатъчно
Болки в гърлото,Втрисане,Болки в ставите,Настинка,Практикувайте добра хигиена
Болки в гърлото,Втрисане,Световъртеж,Алергия,Използвайте лекарства без рецепта
Болки в гърлото,Затруднено дишане,Болки в ставите,Грип,Избягвайте алергени
Кашлица,Обрив,Болки в ставите,Мигрена,Избягвайте близък контакт с болни хора
